post_id,registrationNumber,body,count_comments,count_likes
5c7d0ad9df84440001c59426,00086,bonjour tout le monde,0,2
5c7d0ad9df84440001c59427,00086,bonjour tout le monde,0,1
5c7d0ad9df84440001c59428,00086,bonjour tout le monde,3,28
5c7d2719df84440001c5942c,00132,bonjour tout le monde,0,4
5c7d2719df84440001c5942d,00132,bonjour tout le monde,0,3
5c7d2719df84440001c5942e,00132,bonjour tout le monde,0,4
5c7d2719df84440001c5942f,00132,bonjour tout le monde,1,28
5c7d35a8df84440001c59431,00068,bonjour tout le monde,4,29
5c7d377bdf84440001c59432,00011,bonjour tout le monde,3,30
5c7d7dd2df84440001c59439,00066,bonjour tout le monde,3,29
5c7e2a62df84440001c5943d,00086,bonjour tout le monde,29,31
5c7e6bebdf84440001c59458,00088,bonjour tout le monde,6,6
5c7e6fe8df84440001c5945a,00139,bonjour tout le monde,6,17
5c7f96a9df84440001c59466,00006,bonjour tout le monde,8,18
5c802d40df84440001c59471,00034,bonjour tout le monde,4,22
5c80e1aedf84440001c59473,00096,bonjour tout le monde,8,24
5c811c68df84440001c59485,00026,bonjour tout le monde,2,20
5c821beedf84440001c5948f,00086,bonjour tout le monde,4,31
5c822bcddf84440001c59492,00132,bonjour tout le monde,0,0
5c822bcddf84440001c59493,00132,bonjour tout le monde,0,1
5c822bcddf84440001c59494,00132,bonjour tout le monde,2,33
5c823ae4df84440001c59499,00086,bonjour tout le monde,0,0
5c823ae4df84440001c5949a,00086,bonjour tout le monde,0,0
5c823ae4df84440001c5949b,00086,bonjour tout le monde,3,30
5c823aecdf84440001c5949c,00038,bonjour tout le monde,2,37
5c82d8a3df84440001c594a2,00071,bonjour tout le monde,1,26
5c853560df84440001c594a4,00018,bonjour tout le monde,29,43
5c862b2a9681670001c1d8f6,00086,bonjour tout le monde,0,19
5c86429b9681670001c1d91d,00138,bonjour tout le monde,0,35
5c866fd59681670001c1d923,00129,bonjour tout le monde,13,17
5c8704489681670001c1d933,nan,bonjour tout le monde,0,0
5c8704489681670001c1d934,nan,bonjour tout le monde,0,0
5c8704489681670001c1d935,nan,bonjour tout le monde,0,0
5c8704489681670001c1d936,nan,bonjour tout le monde,0,0
5c87531e9681670001c1d938,nan,bonjour tout le monde,0,2
5c87531e9681670001c1d939,nan,bonjour tout le monde,1,3
5c87531e9681670001c1d93a,nan,bonjour tout le monde,0,3
5c87531e9681670001c1d93b,nan,bonjour tout le monde,1,2
5c87531e9681670001c1d93c,nan,bonjour tout le monde,0,2
5c87531e9681670001c1d93d,nan,bonjour tout le monde,0,1
5c87531e9681670001c1d93e,nan,bonjour tout le monde,1,2
5c87531e9681670001c1d93f,00001,bonjour tout le monde,31,41
5c87767e9681670001c1d950,00018,bonjour tout le monde,3,25
5c878d169681670001c1d958,00138,bonjour tout le monde,1,22
5c87909c9681670001c1d959,00086,bonjour tout le monde,4,32
5c87973a9681670001c1d95e,00048,bonjour tout le monde,21,39
5c87d7ae9681670001c1d976,00086,bonjour tout le monde,0,22
5c87efd29681670001c1d97b,00048,bonjour tout le monde,2,33
5c882c889681670001c1d97e,00048,bonjour tout le monde,8,21
5c89313d9681670001c1d997,00014,bonjour tout le monde,0,24
5c89374f9681670001c1d999,nan,bonjour tout le monde,0,0
5c893a149681670001c1d99b,nan,bonjour tout le monde,0,5
5c893a149681670001c1d99c,nan,bonjour tout le monde,0,4
5c893a149681670001c1d99d,nan,bonjour tout le monde,0,2
5c893a149681670001c1d99e,00001,bonjour tout le monde,4,34
5c8a27f439e09d0001cc6cfa,00143,bonjour tout le monde,5,17
5c8a2d9039e09d0001cc6cfb,00135,bonjour tout le monde,12,30
5c8a324b39e09d0001cc6cff,00037,bonjour tout le monde,0,34
5c8a532739e09d0001cc6d03,00088,bonjour tout le monde,6,41
5c8a860139e09d0001cc6d0d,nan,bonjour tout le monde,0,2
5c8a860139e09d0001cc6d0e,nan,bonjour tout le monde,0,1
5c8a860139e09d0001cc6d0f,00095,bonjour tout le monde,20,38
5c8a9abd39e09d0001cc6d18,00024,bonjour tout le monde,2,33
5c8b836439e09d0001cc6d29,00095,bonjour tout le monde,14,34
5c8bad25f8ded10001880f12,00024,bonjour tout le monde,7,25
5c8cdf8bf8ded10001880f25,00037,bonjour tout le monde,2,10
5c8f592df8ded10001880f29,00032,bonjour tout le monde,16,20
5c8f5a21f8ded10001880f2a,00040,bonjour tout le monde,1,19
5c8f9d3cf8ded10001880f3b,00086,bonjour tout le monde,1,30
5c8ff959f8ded10001880f40,00048,bonjour tout le monde,10,37
5c90ad89f8ded10001880f4a,00066,bonjour tout le monde,0,29
5c90b845f8ded10001880f4e,00039,bonjour tout le monde,7,36
5c90ecb1f8ded10001880f58,00086,bonjour tout le monde,0,17
5c910547f8ded10001880f59,00079,bonjour tout le monde,5,25
5c914ebdf8ded10001880f5d,00079,bonjour tout le monde,4,32
5c914fdcf8ded10001880f5e,nan,bonjour tout le monde,0,3
5c914fdcf8ded10001880f5f,nan,bonjour tout le monde,0,5
5c914fdcf8ded10001880f60,nan,bonjour tout le monde,0,1
5c914fdcf8ded10001880f61,nan,bonjour tout le monde,0,7
5c914fdcf8ded10001880f62,nan,bonjour tout le monde,1,8
5c914fdcf8ded10001880f63,00066,bonjour tout le monde,0,30
5c91515cf8ded10001880f64,00066,bonjour tout le monde,2,31
5c9151edf8ded10001880f65,00066,bonjour tout le monde,14,32
5c91f059f8ded10001880f6d,00066,bonjour tout le monde,1,28
5c920ff7f8ded10001880f72,00058,bonjour tout le monde,1,32
5c92aaabf8ded10001880f7a,00039,bonjour tout le monde,2,28
5c92addef8ded10001880f7b,00057,bonjour tout le monde,2,31
5c936655f8ded10001880f86,00056,bonjour tout le monde,1,27
5c937f4bf8ded10001880f8a,00067,bonjour tout le monde,0,35
5c94d6baf8ded10001880f8b,00164,bonjour tout le monde,0,0
5c9501bcf8ded10001880f8f,00037,bonjour tout le monde,19,41
5c965b28f8ded10001880f9e,00039,bonjour tout le monde,1,33
5c97bc61f8ded10001880fa0,00066,bonjour tout le monde,8,27
5c98b866f8ded10001880faa,00086,bonjour tout le monde,0,26
5c98fa74f8ded10001880fae,00058,bonjour tout le monde,2,15
5c99ee06f8ded10001880fb1,00039,bonjour tout le monde,0,28
5c99fccaf8ded10001880fb3,00072,bonjour tout le monde,3,24
5c99febdf8ded10001880fb4,00122,bonjour tout le monde,0,11
5c9a23bbf8ded10001880fb9,00003,bonjour tout le monde,4,25
5c9a3829f8ded10001880fbe,00085,bonjour tout le monde,2,11
5c9a4135f8ded10001880fc1,00037,bonjour tout le monde,10,31
5c9b3c81f8ded10001880fcf,00132,bonjour tout le monde,7,20
5c9b4fb9f8ded10001880fd2,00118,bonjour tout le monde,4,26
5c9b6154f8ded10001880fd7,00056,bonjour tout le monde,4,30
5c9b6545f8ded10001880fd9,00079,bonjour tout le monde,0,2
5c9b6545f8ded10001880fda,00079,bonjour tout le monde,0,0
5c9b6545f8ded10001880fdb,00079,bonjour tout le monde,1,31
5c9b728ef8ded10001880fde,00086,bonjour tout le monde,0,23
5c9ba7b9f8ded10001880fe3,00070,bonjour tout le monde,2,2
5c9ba7b9f8ded10001880fe4,00070,bonjour tout le monde,0,0
5c9ba7b9f8ded10001880fe5,00070,bonjour tout le monde,0,0
5c9ba7b9f8ded10001880fe6,00070,bonjour tout le monde,0,0
5c9ba7b9f8ded10001880fe7,00070,bonjour tout le monde,1,28
5c9c1f6cf8ded10001880fea,nan,bonjour tout le monde,0,8
5c9c1f6cf8ded10001880feb,nan,bonjour tout le monde,0,7
5c9c1f6cf8ded10001880fec,nan,bonjour tout le monde,0,7
